FEN,PieceCount,Source,Question,Agent1_Sec,SPARQL_Exec_Sec,Agent2_Sec,Facts_Found,CoT_Judge_Score,ErrorLog
1r3rk1/p3R2p/3p2pQ/3q4/3b4/3p4/PP3PPP/1RB4K b - - 3 22,20,Template,What files or ranks are currently open?,6.84,0.09,11.66,6,1,None
1r3rk1/p3R2p/3p2pQ/3q4/3b4/3p4/PP3PPP/1RB4K b - - 3 22,20,Fuzzer,How can Black capitalize on the exposed nature of the white queen and rook battery?,13.9,0.08,5.07,0,1,None
8/3P4/8/1kP2pbP/8/5K2/8/8 b - - 0 51,7,Template,Which player currently has a material or positional advantage?,6.91,0.09,21.56,8,0,None
8/3P4/8/1kP2pbP/8/5K2/8/8 b - - 0 51,7,Fuzzer,"Considering the advanced passed pawn on d7, what defensive strategy must Black employ to prevent white's immediate promotion, given the bishop's placement?",17.75,0.08,5.79,0,1,None
2rr3k/1pq1bQ1p/p1b1p1B1/4N3/8/2N1P2P/1P3PP1/2B1R1K1 b - - 0 24,22,Template,What files or ranks are currently open?,6.84,0.09,10.99,6,1,None
2rr3k/1pq1bQ1p/p1b1p1B1/4N3/8/2N1P2P/1P3PP1/2B1R1K1 b - - 0 24,22,Fuzzer,How can Black effectively coordinate the rooks to defend against the powerful attacking setup involving the Queen and the two Bishops?,13.53,0.09,12.57,2,1,None
rnbq1rk1/pp4pp/4p3/3pNp1Q/2pPn3/2PBP1P1/PP1N1PP1/R3K2R b KQ - 1 11,30,Template,Describe the overall state of the board.,6.59,0.1,22.02,24,0,None
rnbq1rk1/pp4pp/4p3/3pNp1Q/2pPn3/2PBP1P1/PP1N1PP1/R3K2R b KQ - 1 11,30,Fuzzer,"Does the knight on e4 have any tactical defensive weaknesses that White could exploit, or is it securely centralized?",10.7,0.09,3.11,0,1,None
r2q1rk1/pb3ppp/1p1bp3/2ppNnP1/3P1P2/2PBP3/PP1N1R1P/R2Q3K b - - 0 16,30,Template,Describe the overall state of the board.,6.58,0.1,25.46,26,1,None
r2q1rk1/pb3ppp/1p1bp3/2ppNnP1/3P1P2/2PBP3/PP1N1R1P/R2Q3K b - - 0 16,30,Fuzzer,How does Black plan to challenge or neutralize the pressure exerted by the centralized knight on e5?,60,0,0,0,0,LLM/SPARQL TIMEOUT
8/7p/3p2p1/3Pp3/3qP3/3k3P/6PK/3Q4 b - - 4 46,12,Template,Are there any pieces on the same diagonal?,11.67,0.08,4.79,0,1,None
8/7p/3p2p1/3Pp3/3qP3/3k3P/6PK/3Q4 b - - 4 46,12,Fuzzer,How effectively can Black coordinate the King and Queen to create an attacking breakthrough?,13.8,0.09,17.72,8,1,None
r4k2/pp3p2/2pNR2p/5Qp1/1P3n2/3P4/P1PK1qPP/8 w - - 6 31,20,Template,Describe the overall state of the board.,6.94,0.09,22.77,15,0,None
r4k2/pp3p2/2pNR2p/5Qp1/1P3n2/3P4/P1PK1qPP/8 w - - 6 31,20,Fuzzer,What is the strategic value of the knight on e6 given the open lines and the proximity of black's major pieces?,19.97,0.08,5.89,0,1,None
8/P7/8/5k2/8/5pr1/5r2/R6K w - - 0 50,7,Template,What files or ranks are currently open?,7.2,0.09,14.16,12,1,None
8/P7/8/5k2/8/5pr1/5r2/R6K w - - 0 50,7,Fuzzer,What defensive measures are available to White's pieces to combat the immediate pressure and coordination of the two black rooks?,15.86,0.08,5.62,0,1,None
r7/pp1Qp1B1/8/3kb3/4q3/8/PP3PP1/5K2 b - - 4 34,14,Template,Which player currently has a material or positional advantage?,7.28,0.09,23.62,17,0,None
r7/pp1Qp1B1/8/3kb3/4q3/8/PP3PP1/5K2 b - - 4 34,14,Fuzzer,How does Black leverage the strong coordination between the Queen and Bishop to generate immediate threats against White's King or Queen?,18.7,0.08,5.06,0,1,None
4r1k1/pp2n2p/3q1pp1/3p4/3P3P/1PrB1PR1/P4P2/1Q4RK b - - 0 24,22,Template,Are there any pieces on the same diagonal?,11.66,0.08,5.45,0,1,None
4r1k1/pp2n2p/3q1pp1/3p4/3P3P/1PrB1PR1/P4P2/1Q4RK b - - 0 24,22,Fuzzer,How vulnerable are White's kingside pawns to an attack initiated by the black rooks?,17.14,0.09,2.9,0,1,None
3Q1k2/8/8/2P5/1n5P/5q2/5P2/6K1 b - - 2 51,8,Template,What files or ranks are currently open?,7.21,0.09,13.22,10,1,None
3Q1k2/8/8/2P5/1n5P/5q2/5P2/6K1 b - - 2 51,8,Fuzzer,"How effective is the combined threat of the knight and the queen against the white coordination, specifically around the d8 Queen?",18.99,0.08,5.61,0,1,None
r3qk2/5r2/p1NpBR2/1p1Pp3/P1P1PpQp/1P6/5P2/2K5 b - - 0 33,21,Template,Which player currently has a material or positional advantage?,7.29,0.09,23.93,19,0,None
r3qk2/5r2/p1NpBR2/1p1Pp3/P1P1PpQp/1P6/5P2/2K5 b - - 0 33,21,Fuzzer,How adequately defended is the path for the black queen to coordinate with the rooks against the central white pawns?,21.77,0,0,0,0,Cannot select 'VAR:'?relationship''!
8/2p5/pp1p4/3PnN2/PPP1Pp2/5P1p/5K1k/8 b - - 3 46,16,Template,What files or ranks are currently open?,7.11,0.09,7.21,4,1,None
8/2p5/pp1p4/3PnN2/PPP1Pp2/5P1p/5K1k/8 b - - 3 46,16,Fuzzer,How can Black use the advanced king and the passed pawns to create a decisive breakthrough on the queenside?,22.28,0.09,17.99,11,1,None
8/1r3k1p/5B2/6Rp/4pR2/6PK/3pr3/8 w - - 2 55,12,Template,Are there any pieces on the same diagonal?,11.69,0.08,5.29,0,1,None
8/1r3k1p/5B2/6Rp/4pR2/6PK/3pr3/8 w - - 2 55,12,Fuzzer,How effectively can White coordinate the rooks and bishop to exploit the potential weaknesses around the black king on f7?,15.76,0.08,6.29,0,1,None
r1k4r/pp1nQ1p1/5p2/1N3P1p/3P4/2P5/q5PP/4R2K b - - 3 25,19,Template,Describe the overall state of the board.,6.94,0.1,22.79,20,0,None
r1k4r/pp1nQ1p1/5p2/1N3P1p/3P4/2P5/q5PP/4R2K b - - 3 25,19,Fuzzer,"What are Black's best attacking chances, or must Black focus primarily on defending against the immediate positional threats posed by the centralized White Queen and Knight?",17.24,0.1,22.64,22,1,None
8/p7/1p6/2p5/P1P1K1r1/1P1R2P1/2k5/8 w - - 1 49,11,Template,Are there any pieces on the same diagonal?,11.69,0.09,4.92,0,0,None
8/p7/1p6/2p5/P1P1K1r1/1P1R2P1/2k5/8 w - - 1 49,11,Fuzzer,How can White coordinate the King and Rook to neutralize the advanced Black King and Rook activity?,12.16,0.09,19.14,9,1,None
2kr1b1r/1p6/2p1qN2/3pP3/3P3n/1Q5p/1n5K/2RB1R2 b - - 1 35,19,Template,Describe the overall state of the board.,60,0,0,0,0,LLM/SPARQL TIMEOUT
2kr1b1r/1p6/2p1qN2/3pP3/3P3n/1Q5p/1n5K/2RB1R2 b - - 1 35,19,Fuzzer,How should Black coordinate the pieces to neutralize the immediate pressure exerted by the knight on f6?,14.25,0.08,5.11,0,1,None
2r3k1/1p1p1ppp/1P2p3/8/6n1/7q/1PPPPP1P/R1BQ1nK1 b - - 0 18,22,Template,Are there any pieces on the same diagonal?,11.67,0.08,5.02,0,1,None
2r3k1/1p1p1ppp/1P2p3/8/6n1/7q/1PPPPP1P/R1BQ1nK1 b - - 0 18,22,Fuzzer,"With the knights highly active on g4 and f1, what is the most direct way for Black to create a decisive attack against the exposed white king?",12.39,0.09,6.24,0,1,None
2k5/5p2/Q1P2p2/4p3/7p/P6P/6PK/3r1r2 b - - 4 37,13,Template,Which pieces are currently attacking the opposing King?,6.23,0.09,7.14,1,1,None
2k5/5p2/Q1P2p2/4p3/7p/P6P/6PK/3r1r2 b - - 4 37,13,Fuzzer,How should I coordinate my two rooks to create immediate tactical threats against the White King?,16.82,0.08,6.0,0,1,None
r3kb1r/p4ppp/5B2/1p6/Q2P4/2N5/Pq2bPPP/R3KB1R w KQkq - 0 13,23,Template,What files or ranks are currently open?,7.21,0.09,12.63,6,1,None
r3kb1r/p4ppp/5B2/1p6/Q2P4/2N5/Pq2bPPP/R3KB1R w KQkq - 0 13,23,Fuzzer,"Given the immediate threats posed by the Queen and Bishop on the second rank, how should White prioritize stabilizing the center while dealing with Black's combined attack?",17.21,0.1,25.95,23,1,None
8/6k1/1R6/5b2/5Kpp/8/8/8 b - - 3 62,6,Template,What files or ranks are currently open?,7.22,0.09,17.6,13,1,None
8/6k1/1R6/5b2/5Kpp/8/8/8 b - - 3 62,6,Fuzzer,How can Black best coordinate the Bishop and the advanced pawns to create a passed pawn threat against the White King?,20.23,0.08,6.64,0,1,None
4b1k1/4Pr2/3R2pp/1ppBP1q1/8/PP4P1/2P4P/3R3K b - - 2 38,19,Template,Which pieces are currently attacking the opposing King?,6.21,0.08,5.9,0,1,None
4b1k1/4Pr2/3R2pp/1ppBP1q1/8/PP4P1/2P4P/3R3K b - - 2 38,19,Fuzzer,Does the concentration of White's major pieces (Rook and Bishop) create any irreversible tactical threats against the Black position?,17.23,0.09,15.72,14,1,None
r3k2r/pB2qppp/2pp4/4n3/1B6/4P1Pb/PPPQ1P1P/R3K2R w KQkq - 0 15,25,Template,Describe the overall state of the board.,6.94,0.1,23.04,25,1,None
r3k2r/pB2qppp/2pp4/4n3/1B6/4P1Pb/PPPQ1P1P/R3K2R w KQkq - 0 15,25,Fuzzer,How can White best utilize the powerful bishop on b7 to challenge Black's coordination around the e5 knight?,18.92,0.09,6.87,0,1,None
2rqr1k1/5ppp/p5B1/8/2Q3b1/PP2R1P1/5P1P/4R1K1 b - - 0 29,19,Template,What files or ranks are currently open?,7.21,0.09,13.89,7,1,None
2rqr1k1/5ppp/p5B1/8/2Q3b1/PP2R1P1/5P1P/4R1K1 b - - 0 29,19,Fuzzer,Where should Black focus its defensive resources to mitigate the pressure exerted by the bishop on g6?,13.18,0.09,5.44,0,1,None
r2q1rk1/ppp3pR/2np2Q1/8/8/2P2NB1/PP3KP1/1Bb5 b - - 0 18,21,Template,Which pieces are currently attacking the opposing King?,6.21,0.08,5.11,0,1,None
r2q1rk1/ppp3pR/2np2Q1/8/8/2P2NB1/PP3KP1/1Bb5 b - - 0 18,21,Fuzzer,How effectively can Black coordinate defenses to handle the pressure exerted by the Rh7 and Qg6?,13.5,0.09,22.16,14,0,None
